16																													
0	1./AR 1716 / 716 Div	1	41																										
63	-1	128	-1	128	-1	33	-1	-1	-1	-1	-1	125	-1	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	-1	33	-1	23	-1	-1	-1	125	-1	128	-1	107	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	-1	33	-1	23	-1	128	-1	125	-1	128	-1	107	-1	21	-1	50	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	-1	128	-1	128	-1	33	-1	23	-1	128	-1	125	-1	128	-1	107	-1	21	-1	50	-1	6	-1	-1	-1	-1	-1	-1	-1
63	-1	128	-1	128	-1	33	-1	23	-1	128	-1	125	-1	128	-1	107	-1	21	-1	50	-1	6	-1	8	1830	-1	-1	-1	-1
1	Ost 441 / 716 Div	1	1																										
117	-1	121	-1	121	-1	121	-1	124	-1	117	-1	121	-1	121	-1	-1	-1	122	-1	-1	-1	149	183	149	-1	-1	-1	-1	-1
117	-1	121	-1	121	-1	121	-1	124	-1	117	-1	121	-1	121	-1	-1	-1	122	-1	-1	-1	149	183	149	-1	-1	-1	-1	-1
117	-1	121	-1	121	-1	121	-1	124	-1	117	-1	121	-1	121	-1	35	-1	122	-1	117	-1	149	183	149	-1	-1	-1	120	-1
117	-1	121	-1	121	-1	121	-1	124	-1	117	-1	121	-1	121	-1	35	-1	122	-1	117	-1	149	183	149	990	123	-1	120	-1
117	-1	121	-1	121	-1	121	-1	124	-1	117	-1	121	-1	121	-1	35	-1	122	-1	117	-1	149	183	149	990	123	-1	120	-1
2	II./736/716 Div	1	2																										
63	-1	23	-1	23	-1	128	-1	107	-1	125	-1	-1	-1	-1	-1	-1	-1	6	-1	50	-1	148	-1	64	-1	-1	-1	-1	-1
63	-1	23	-1	23	-1	128	-1	107	-1	125	-1	21	-1	-1	-1	-1	-1	63	-1	6	-1	50	-1	148	-1	64	-1	-1	-1
63	-1	23	-1	23	-1	128	-1	107	-1	125	-1	21	-1	33	-1	23	-1	107	-1	63	-1	6	-1	50	-1	148	-1	64	-1
63	-1	23	-1	23	-1	128	-1	107	-1	125	-1	21	-1	33	-1	33	-1	107	-1	63	-1	6	-1	50	-1	148	-1	64	-1
63	-1	23	-1	23	-1	128	-1	107	-1	125	-1	21	-1	33	-1	107	-1	107	-1	63	-1	6	-1	50	-1	148	-1	64	-1
3	Ost 642/716 Div	1	43																										
117	-1	121	-1	121	-1	88	-1	35	-1	117	-1	121	-1	121	-1	149	-1	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	-1	121	-1	121	-1	88	-1	35	-1	117	-1	121	-1	121	-1	35	-1	149	-1	120	-1	124	-1	-1	-1	-1	-1	-1	-1
117	-1	121	-1	121	-1	88	-1	35	-1	117	-1	121	-1	121	-1	35	-1	149	-1	88	-1	120	-1	124	-1	35	-1	-1	-1
117	-1	121	-1	121	-1	88	-1	35	-1	117	-1	121	-1	121	-1	35	-1	149	-1	88	-1	120	-1	124	-1	17	-1	149	-1
117	-1	121	-1	121	-1	88	-1	35	-1	117	-1	121	-1	121	-1	35	-1	149	-1	88	-1	120	-1	124	-1	35	-1	149	-1
4	Ost 441/716 Div	1	0																										
117	-1	121	-1	122	-1	122	-1	5	-1	121	-1	121	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	12	-1	-1	-1
